Date,Open,High,Low,Close,Adj Close,Volume
2017-08-09,301.200012,305.540009,301.000000,305.220001,267.661072,1750600
2017-08-10,306.549988,307.100006,303.000000,303.250000,265.933502,1339600
2017-08-11,302.839996,306.450012,302.579987,303.750000,266.371948,987800
2017-08-14,305.450012,308.059998,304.260010,307.579987,269.730713,1203000
2017-08-15,307.970001,308.480011,305.519989,306.200012,268.520538,1020300
2017-08-16,305.880005,306.809998,305.350006,305.799988,268.169678,1035600
2017-08-17,305.260010,305.649994,301.269989,301.420013,264.328735,1067000
2017-08-18,300.869995,301.260010,298.820007,299.200012,262.381836,1204700
2017-08-21,300.000000,302.230011,297.769989,301.880005,264.732025,962200
2017-08-22,303.510010,305.480011,302.970001,304.799988,267.292694,960400
2017-08-23,304.000000,304.559998,302.529999,302.839996,265.573975,697100
2017-08-24,303.510010,304.049988,301.250000,302.600006,265.363495,574400
2017-08-25,303.920013,304.679993,302.709991,302.799988,265.538910,571100
2017-08-28,303.730011,303.850006,302.510010,303.609985,266.249237,830400
2017-08-29,304.500000,308.179993,304.500000,308.140015,270.221802,1277600
2017-08-30,306.420013,307.220001,305.500000,306.299988,270.204163,1273000
2017-08-31,306.859985,306.859985,304.970001,305.390015,269.401428,982400
2017-09-01,305.959991,306.339996,302.190002,302.190002,266.578522,1188800
2017-09-05,304.450012,304.529999,301.910004,302.200012,266.587280,1387200
2017-09-06,303.410004,303.940002,301.309998,301.450012,265.925690,1217400
2017-09-07,301.450012,302.769989,300.239990,302.350006,266.719635,923400
2017-09-08,301.519989,303.660004,301.519989,302.899994,267.204773,1161100
2017-09-11,303.700012,304.589996,302.209991,304.480011,268.598602,917600
2017-09-12,304.450012,304.760010,302.910004,303.730011,267.936981,640800
2017-09-13,303.059998,303.059998,300.109985,300.200012,264.822998,1143100
2017-09-14,300.200012,301.390015,298.399994,301.339996,265.828644,1507600
2017-09-15,302.339996,303.350006,301.029999,302.299988,266.675537,2025900
2017-09-18,302.859985,304.329987,302.399994,303.799988,267.998779,1005500
2017-09-19,304.290009,307.260010,303.660004,305.649994,269.630737,1365100
2017-09-20,305.359985,307.959991,305.239990,307.899994,271.615570,1265000
2017-09-21,308.100006,308.910004,307.390015,308.010010,271.712646,875600
2017-09-22,308.649994,311.359985,308.260010,308.540009,272.180176,1018600
2017-09-25,308.480011,308.970001,304.709991,306.850006,270.689423,1222400
2017-09-26,308.549988,310.690002,308.209991,309.579987,273.097595,1025800
2017-09-27,309.700012,311.320007,309.010010,310.130005,273.582825,973300
2017-09-28,309.010010,310.369995,306.579987,309.130005,272.700684,824200
2017-09-29,308.950012,310.359985,308.690002,310.290009,273.723938,911500
2017-10-02,310.790009,311.380005,309.269989,311.329987,274.641357,1007800
2017-10-03,311.380005,314.019989,311.299988,312.859985,275.991058,803000
2017-10-04,313.279999,314.100006,312.459991,313.019989,276.132202,903700
2017-10-05,312.820007,315.290009,312.640015,314.579987,277.508392,950400
2017-10-06,315.000000,316.459991,314.279999,316.459991,279.166809,857700
2017-10-09,316.619995,318.339996,315.500000,317.299988,279.907806,880100
2017-10-10,318.320007,318.320007,316.220001,317.709991,280.269470,941500
2017-10-11,317.649994,318.799988,317.049988,318.589996,281.045807,706300
2017-10-12,318.350006,321.559998,318.279999,321.149994,283.304169,867700
2017-10-13,321.619995,322.190002,319.140015,319.390015,281.751556,1095500
2017-10-16,319.739990,320.670013,317.739990,318.940002,281.354584,588200
2017-10-17,318.700012,318.929993,317.019989,318.269989,280.763489,741600
2017-10-18,318.329987,318.820007,314.700012,315.570007,278.381714,1131100
2017-10-19,315.570007,317.070007,313.019989,316.839996,279.502075,727600
2017-10-20,317.929993,320.000000,316.600006,320.000000,282.289612,933400
2017-10-23,321.059998,321.559998,319.869995,320.730011,282.933563,1239000
2017-10-24,314.690002,317.000000,310.609985,313.149994,276.246857,2567800
2017-10-25,312.859985,315.959991,311.309998,312.429993,275.611664,1658800
2017-10-26,313.440002,314.420013,303.309998,307.890015,271.606781,1599400
2017-10-27,307.950012,310.380005,307.750000,308.000000,271.703827,998600
2017-10-30,308.500000,310.420013,307.820007,308.630005,272.259583,1157300
