Date,Open,High,Low,Close,Adj Close,Volume
2017-06-26,218.259995,221.970001,217.699997,220.440002,200.699142,2589500
2017-06-27,221.839996,222.410004,219.559998,220.279999,200.553513,2899400
2017-06-28,221.869995,224.630005,220.750000,223.220001,203.230209,3482800
2017-06-29,228.369995,228.789993,223.029999,224.410004,204.313644,5063400
2017-06-30,225.309998,226.050003,221.539993,221.899994,202.028442,3154300
2017-07-03,224.460007,229.070007,223.419998,227.279999,206.926651,2846600
2017-07-05,228.380005,228.919998,225.210007,228.039993,207.618576,2772000
2017-07-06,227.970001,230.059998,225.250000,226.690002,206.389511,3076600
2017-07-07,228.229996,228.490005,224.419998,225.279999,205.105759,2697600
2017-07-10,224.270004,227.339996,223.960007,225.839996,205.615601,2357500
2017-07-11,226.039993,227.949997,224.669998,226.949997,206.626190,2742900
2017-07-12,226.399994,229.020004,226.070007,227.389999,207.026825,2567300
2017-07-13,227.389999,230.639999,226.949997,230.399994,209.767273,2852600
2017-07-14,227.220001,229.610001,225.100006,228.600006,208.128403,3703600
2017-07-17,228.729996,229.639999,227.210007,229.259995,208.729340,2551800
2017-07-18,227.500000,230.360001,222.759995,223.309998,203.312164,6400700
2017-07-19,222.910004,224.199997,221.669998,222.869995,202.911591,4884600
2017-07-20,223.000000,224.759995,221.610001,222.300003,202.392624,3497800
2017-07-21,221.889999,222.309998,219.089996,220.179993,200.462448,3446600
2017-07-24,218.940002,219.729996,218.000000,218.179993,198.641541,3123100
2017-07-25,220.339996,222.869995,220.179993,221.580002,201.737076,3509500
2017-07-26,222.449997,223.740005,221.869995,222.250000,202.347061,2792500
2017-07-27,221.839996,222.710007,220.429993,221.479996,201.645981,2812500
2017-07-28,221.770004,223.669998,220.860001,223.610001,203.585312,2483200
2017-07-31,223.949997,225.500000,223.050003,225.330002,205.151260,1994900
2017-08-01,227.089996,228.619995,226.729996,227.000000,206.671677,2986800
2017-08-02,226.399994,227.729996,225.570007,226.270004,206.007080,1863300
2017-08-03,226.000000,226.740005,223.970001,223.990005,203.931290,2106400
2017-08-04,226.050003,229.789993,225.059998,229.789993,209.211853,3400300
2017-08-07,229.800003,233.130005,229.289993,232.919998,212.061569,3809800
2017-08-08,232.399994,235.830002,231.699997,232.050003,211.269455,3322500
2017-08-09,230.320007,231.490005,229.059998,231.009995,210.322617,2571100
2017-08-10,229.020004,229.449997,225.470001,225.500000,205.306061,3325500
2017-08-11,225.070007,226.679993,222.649994,224.149994,204.076950,2956600
2017-08-14,226.369995,229.830002,226.300003,227.360001,206.999496,2266100
2017-08-15,229.570007,230.610001,227.500000,227.589996,207.208878,1867000
2017-08-16,228.259995,229.009995,225.000000,225.610001,205.406174,2393900
2017-08-17,224.380005,225.979996,221.110001,221.419998,201.591431,3460300
2017-08-18,220.789993,224.089996,220.550003,222.149994,202.256058,3149300
2017-08-21,222.399994,222.399994,219.210007,220.789993,201.017792,2203300
2017-08-22,221.860001,223.779999,221.330002,223.580002,203.557968,2021300
2017-08-23,221.899994,224.809998,221.330002,222.740005,202.793228,2568000
2017-08-24,223.770004,224.570007,222.589996,222.990005,203.020828,2263000
2017-08-25,223.639999,224.949997,222.130005,222.470001,202.547379,2232500
2017-08-28,222.910004,223.089996,218.860001,220.350006,200.617203,2641600
2017-08-29,217.270004,220.130005,215.750000,219.960007,200.946106,2369100
2017-08-30,220.250000,224.220001,220.089996,222.419998,203.193481,2411400
2017-08-31,223.250000,224.490005,222.580002,223.740005,204.399323,2240600
2017-09-01,224.550003,227.559998,223.529999,225.880005,206.354355,2346900
2017-09-05,223.850006,224.000000,217.300003,217.779999,198.954590,5646200
2017-09-06,218.979996,221.020004,217.610001,218.830002,199.913803,3613600
2017-09-07,218.729996,218.809998,214.639999,215.839996,197.182266,3594600
2017-09-08,215.509995,219.279999,215.399994,217.210007,198.433853,3120900
2017-09-11,220.070007,221.889999,218.990005,221.059998,201.951035,2971500
2017-09-12,222.539993,227.690002,222.020004,225.949997,206.418304,3745800
2017-09-13,225.250000,227.139999,224.720001,226.559998,206.975586,2383500
2017-09-14,226.100006,228.100006,226.050003,226.850006,207.240509,1986600
2017-09-15,227.149994,227.210007,223.820007,225.220001,205.751419,4365800
2017-09-18,226.300003,229.000000,225.660004,227.529999,207.861740,2466800
2017-09-19,228.009995,230.139999,227.330002,228.910004,209.122421,1858000
